LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value
NGA,OILPROD,TOT,KTOE,A,1991,91829.271
NGA,OILPROD,TOT,KTOE,A,1992,95165.881
NGA,OILPROD,TOT,KTOE,A,1993,94904.507
NGA,OILPROD,TOT,KTOE,A,1994,94407.282
NGA,OILPROD,TOT,KTOE,A,1995,95997.992
NGA,OILPROD,TOT,KTOE,A,1996,106631.65
NGA,OILPROD,TOT,KTOE,A,1997,116493.437
NGA,OILPROD,TOT,KTOE,A,1998,109783.46
NGA,OILPROD,TOT,KTOE,A,1999,105322.735
NGA,OILPROD,TOT,KTOE,A,2000,112792.331
NGA,OILPROD,TOT,KTOE,A,2001,117777.848
NGA,OILPROD,TOT,KTOE,A,2002,100831.38
NGA,OILPROD,TOT,KTOE,A,2003,114916
NGA,OILPROD,TOT,KTOE,A,2004,123901.773
NGA,OILPROD,TOT,KTOE,A,2005,125059.581
NGA,OILPROD,TOT,KTOE,A,2006,118326.122
NGA,OILPROD,TOT,KTOE,A,2007,109314.824
NGA,OILPROD,TOT,KTOE,A,2008,104650.921
NGA,OILPROD,TOT,KTOE,A,2009,106230.399
NGA,OILPROD,TOT,KTOE,A,2010,121980.261
NGA,OILPROD,TOT,KTOE,A,2011,117923.85
NGA,OILPROD,TOT,KTOE,A,2012,116091.165
NGA,OILPROD,TOT,KTOE,A,2013,108972.791
NGA,OILPROD,TOT,KTOE,A,2014,108707.332
NGA,OILPROD,TOT,KTOE,A,2015,105293.126
NGA,OILPROD,TOT,KTOE,A,2016,91208.507
NGA,OILPROD,TOT,KTOE,A,2017,94939.221