Month,Texas Field Production of Crude Oil Thousand Barrels per Day
Jul-21,4810
Jul-21,4782
Jul-21,4806
Jul-21,4837
Jul-21,4728
Jul-21,3745
Jul-21,4661
Jul-21,4638
Jul-21,4671
Jul-21,4646
Jul-21,4640
Aug-21,4696
Aug-21,4741
Aug-21,4634
Aug-21,4219
Aug-21,5115
Aug-21,5435
Aug-21,5399
Aug-21,5435
Aug-21,5429
Aug-21,5402
Aug-21,5328
Aug-21,5237
Aug-21,5166
Aug-21,5107
Aug-21,5037
Aug-21,5000
Aug-21,4962
Aug-21,4863
Aug-21,4869
Aug-21,4793
Aug-21,4849
Aug-21,4796
Aug-21,4685
Aug-21,4662
Aug-21,4564
Aug-21,4404
Aug-21,4363
Aug-21,4232
Aug-21,4227
Aug-21,4181
Aug-21,4020
Sep-21,3893
Sep-21,3932
Sep-21,3882
Sep-21,3754
Sep-21,3548
Sep-21,3362
Sep-21,3460
Sep-21,3434
Sep-21,3401
Sep-21,3323
Sep-21,3317
Sep-21,3306
Sep-21,3194
Sep-21,3165
Sep-21,3165
Sep-21,3157
Sep-21,3123
Sep-21,3138
Sep-21,3138
Sep-21,3139
Sep-21,3163
Sep-21,3218
Sep-21,3256
Sep-21,3300
Sep-21,3339
Sep-21,3319
Sep-21,3386
Sep-21,3390
Sep-21,3407
Sep-21,3407
Oct-21,3442
Oct-21,3454
Oct-21,3507
Oct-21,3566
Oct-21,3615
Oct-21,3554
Oct-21,3441
Oct-21,3546
Oct-21,3450
Oct-21,3360
Oct-21,3285
Oct-21,3273
Oct-21,3219
Oct-21,3144
Oct-21,3070
Oct-21,3050
Oct-21,2964
Oct-21,2900
Oct-21,2845
Oct-21,2784
Oct-21,2696
Oct-21,2693
Oct-21,2672
Oct-21,2619
Oct-21,2585
Oct-21,2535
Oct-21,2497
Oct-21,2425
Oct-21,2389
Oct-21,2337
Oct-21,2275
Nov-21,2233
Nov-21,2219
Nov-21,2156
Nov-21,2091
Nov-21,2056
Nov-21,1998
Nov-21,1950
Nov-21,1914
Nov-21,1871
Nov-21,1801
Nov-21,1773
Nov-21,1726
Nov-21,1690
Nov-21,1661
Nov-21,1596
Nov-21,1538
Nov-21,1491
Nov-21,1437
Nov-21,1401
Nov-21,1393
Nov-21,1349
Nov-21,1337
Nov-21,1228
Nov-21,1281
Nov-21,1279
Nov-21,1244
Nov-21,1215
Nov-21,1191
Nov-21,1168
Nov-21,1152
Dec-21,1139
Dec-21,1146
Dec-21,1137
Dec-21,1137
Dec-21,1121
Dec-21,1099
Dec-21,1091
Dec-21,1102
Dec-21,1081
Dec-21,1081
Dec-21,1067
Dec-21,1063
Dec-21,1071
Dec-21,1089
Dec-21,1110
Dec-21,1118
Dec-21,1128
Dec-21,1133
Dec-21,1134
Dec-21,1141
Dec-21,1125
Dec-21,1055
Dec-21,1110
Dec-21,1111
Dec-21,1097
Dec-21,1110
Dec-21,1113
Dec-21,1114
Dec-21,1104
Dec-21,1094
Dec-21,1087
Jan-22,1084
Jan-22,1072
Jan-22,1069
Jan-22,1064
Jan-22,1059
Jan-22,1058
Jan-22,1072
Jan-22,1083
Jan-22,1080
Jan-22,1078
Jan-22,1058
Jan-22,1078
Jan-22,1084
Jan-22,1079
Jan-22,1071
Jan-22,1058
Jan-22,1062
Jan-22,1065
Jan-22,1070
Jan-22,1079
Jan-22,1087
Jan-22,1087
Jan-22,1085
Jan-22,1073
Jan-22,1080
Jan-22,1070
Jan-22,1038
Jan-22,1065
Jan-22,1061
Jan-22,1070
Jan-22,1079
Feb-22,1090
Feb-22,1098
Feb-22,1097
Feb-22,1088
Feb-22,1074
Feb-22,1069
Feb-22,1067
Feb-22,1067
Feb-22,1059
Feb-22,1057
Feb-22,1057
Feb-22,1072
Feb-22,1082
Feb-22,1089
Feb-22,1093
Feb-22,1090
Feb-22,1096
Feb-22,1095
Feb-22,1099
Feb-22,1095
Feb-22,1082
Feb-22,1083
Feb-22,1085
Feb-22,1098
Feb-22,1109
Feb-22,1115
Feb-22,1109
Feb-22,1108
Mar-22,1105
Mar-22,1108
Mar-22,1096
Mar-22,1097
Mar-22,1096
Mar-22,1093
Mar-22,1099
Mar-22,1116
Mar-22,1122
Mar-22,1126
Mar-22,1141
Mar-22,1144
Mar-22,1149
Mar-22,1142
Mar-22,1154
Mar-22,1138
Mar-22,1149
Mar-22,1153
Mar-22,1154
Mar-22,1168
Mar-22,1182
Mar-22,1181
Mar-22,1188
Mar-22,1194
Mar-22,1199
Mar-22,1195
Mar-22,1194
Mar-22,1196
Mar-22,1199
Mar-22,1197
Mar-22,1208
Apr-22,1213
Apr-22,1228
Apr-22,1234
Apr-22,1242
Apr-22,1234
Apr-22,1241
Apr-22,1239
Apr-22,1229
Apr-22,1215
Apr-22,1197
Apr-22,1206
Apr-22,1205
Apr-22,1231
Apr-22,1235
Apr-22,1244
Apr-22,1266
Apr-22,1264
Apr-22,1272
Apr-22,1324
Apr-22,1328
Apr-22,1340
Apr-22,1347
Apr-22,1346
Apr-22,1387
Apr-22,1410
Apr-22,1434
Apr-22,1456
Apr-22,1475
Apr-22,1481
Apr-22,1462
May-22,1482
May-22,1469
May-22,1466
May-22,1452
May-22,1461
May-22,1471
May-22,1472
May-22,1482
May-22,1479
May-22,1491
May-22,1456
May-22,1471
May-22,1460
May-22,1473
May-22,1468
May-22,1458
May-22,1466
May-22,1480
May-22,1497
May-22,1513
May-22,1521
May-22,1502
May-22,1507
May-22,1508
May-22,1524
May-22,1520
May-22,1504
May-22,1504
May-22,1506
May-22,1520
May-22,1539
Jun-22,1557
Jun-22,1562
Jun-22,1578
Jun-22,1582
Jun-22,1595
Jun-22,1592
Jun-22,1577
Jun-22,1589
Jun-22,1592
Jun-22,1596
Jun-22,1611
Jun-22,1634
Jun-22,1646
Jun-22,1660
Jun-22,1663
Jun-22,1669
Jun-22,1663
Jun-22,1673
Jun-22,1669
Jun-22,1667
Jun-22,1673
Jun-22,1668
Jun-22,1691
Jun-22,1704
Jun-22,1723
Jun-22,1736
Jun-22,1744
Jun-22,1747
Jun-22,1751
Jun-22,1753
Jul-22,1769
Jul-22,1764
Jul-22,1765
Jul-22,1758
Jul-22,1755
Jul-22,1773
Jul-22,1802
Jul-22,1814
Jul-22,1812
Jul-22,1817
Jul-22,1824
Jul-22,1847
Jul-22,1844
Jul-22,1843
Jul-22,1849
Jul-22,1841
Jul-22,1844
Jul-22,1887
Jul-22,1905
Jul-22,1913
Jul-22,1931
Jul-22,1917
Jul-22,1865
Jul-22,1900
Jul-22,1897
Jul-22,1851
Jul-22,1848
Jul-22,1826
Jul-22,1822
Jul-22,1840
Jul-22,1846
Aug-22,1858
Aug-22,1882
Aug-22,1873
Aug-22,1803
Aug-22,1864
Aug-22,1854
Aug-22,1857
Aug-22,1868
Aug-22,1871
Aug-22,1879
Aug-22,1906
Aug-22,1924
Aug-22,1929
Aug-22,1911
Aug-22,1959
Aug-22,1956
Aug-22,1972
Aug-22,1982
Aug-22,1967
Aug-22,1983
Aug-22,1988
Aug-22,2012
Aug-22,2024
Aug-22,2043
Aug-22,2060
Aug-22,2068
Aug-22,2062
Aug-22,2054
Aug-22,2070
Aug-22,2069
Aug-22,2054
Sep-22,2045
Sep-22,2054
Sep-22,2061
Sep-22,2079
Sep-22,2125
Sep-22,2134
Sep-22,2143
Sep-22,2133
Sep-22,2144
Sep-22,2153
Sep-22,2150
Sep-22,2163
Sep-22,2178
Sep-22,2214
Sep-22,2227
Sep-22,2271
Sep-22,2313
Sep-22,2366
Sep-22,2384
Sep-22,2391
Sep-22,2381
Sep-22,2390
Sep-22,2374
Sep-22,2355
Sep-22,2372
Sep-22,2366
Sep-22,2365
Sep-22,2387
Sep-22,2461
Sep-22,2390
Oct-22,2370
Oct-22,2366
Oct-22,2402
Oct-22,2401
Oct-22,2388
Oct-22,2399
Oct-22,2391
Oct-22,2399
Oct-22,2408
Oct-22,2413
Oct-22,2425
Oct-22,2436
Oct-22,2427
Oct-22,2469
Oct-22,2265
Oct-22,2428
Oct-22,2415
Oct-22,2424
Oct-22,2400
Oct-22,2417
Oct-22,2434
Oct-22,2428
Oct-22,2461
Oct-22,2453
Oct-22,2466
Oct-22,2444
Oct-22,2455
Oct-22,2483
Oct-22,2470
Oct-22,2487
Oct-22,2455
Nov-22,2464
Nov-22,2478
Nov-22,2500
Nov-22,2533
Nov-22,2526
Nov-22,2518
Nov-22,2494
Nov-22,2505
Nov-22,2505
Nov-22,2528
Nov-22,2534
Nov-22,2528
Nov-22,2537
Nov-22,2568
Nov-22,2577
Nov-22,2578
Nov-22,2604
Nov-22,2593
Nov-22,2600